,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
10,5,59,16,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,49,,,15,12,36,24,16,19,21,6,20,36,6,63,36,40,51,31.5,36,24,17,19,8,48,41,38,29,42,8,50,56,23,6,12,36,21,2,22,7,45,26,48,11,27,10,59,36,22,21,10,27,60,25,16,31,10,27,42,50,51,34,60,13,36,65,49,11,40,22,7,36,38,16,2,36,6,67,36,36,33,9.5,24,16,36,18,27,36,36
11,6,60,17,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,50,,,16,13,37,49,17,20,22,7,21,36,7,64,36,41,52,33,36,25,18,20,9,47,41,39,30,43,9,51,57,22,7,13,36,22,3,23,8,44,27,49,12,28,19,60,36,23,22,11,28,61,26,17,32,11,27,43,51,52,33,59,14,36,66,50,12,41,23,8,37,39,17,3,37,7,68,36,36,34,11.5,25,17,36,19,53,36,36
12,9,61,18,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,51,,,17,14,38,64,18,21,23,8,22,36,8,65,36,42,53,34,36,26,19,21,10,46,41,40,31,44,10,52,58,21,8,14,36,23,4,24,9,43,28,50,13,29,20,61,36,24,23,12,29,62,27,18,33,12,27,44,52,53,32,58,15,36,67,51,13,42,24,9,38,40,18,4,38,8,69,36,36,35,13.5,26,18,36,20,53,36,36
13,10,62,19,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,52,,,18,15,39,66,19,22,24,9,23,36,9,66,36,43,54,35,36,27,20,22,11,45,41,41,32,45,11,53,59,20,9,15,36,24,5,25,10,42,29,51,14,30,21,62,36,25,24,13,33,63,28,19,34,13,27,45,53,54,31,55,16,36,68,52,14,43,25,10,39,41,19,5,39,9,70,36,36,36,15.5,27,19,36,21,53,36,36
14,26,63,47,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,53,,,19,16,8,62,20,23,8,25,24,36,38,62,36,44,55,36,36,28,21,59,5,44,41,42,33,37,2,54,60,66,3,16,36,25,69,12,24,40,30,52,64,12,9,58,36,8,20,15,46,64,30,34,70,44,27,46,54,55,58,56,17,36,69,29,15,44,64,11,63,42,61,38.5,40,10,71,36,36,32,17.5,28,20,36,22,1,36,36
15,50,35,23,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,24,,,56,66,40,11,35,1,49,18,34,36,64,19,36,26,56,37,36,3,22,45,55,15,41,47,64,21,52,27,18,42,51,44,36,27,29,27,55,32,24,53,50,45,30,30,36,55,53,23,31,22,32,36,19,42,11.5,30,66,22,25,28,9,36,4,53,4,16,9,13,27,28,20,38.5,27,31,26,36,36,55,19.5,20,42,36,23,16,36,36
16,49,36,24,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,25,,,55,69,41,12,34,2,50,19,35,36,65,20,36,25,57,38,36,2,23,46,54,14,41,48,65,22,53,28,19,41,51,45,36,28,28,28,54,41,25,54,51,46,31,31,36,56,54,24,32,23,33,37,20,43,11.5,29,67,23,26,29,10,36,5,54,5,15,10,14,28,29,21,38.5,26,33,27,36,36,56,21.5,21,43,36,24,53,36,36
17,69,60,70,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,71,,,2,65,54,15,4,45,12,52,55,36,69,18,36,22,58,7,36,17,24,47,46,23,41,70,66,70,71,70,20,50,51,11,36,63,27,69,38,63,68,55,52,62,32,70,36,69,26,25,42,43,69.5,70,58,41,17,70,55,24,30,71,48,36,15,70,69,13,62,46,58,43,56,38.5,70,69,61,36,36,62,65,45,70,36,41,28,36,36
18,68,10,25,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,1,,,8,56,55,41,6,25,42,65,57,36,30,4,36,58,15,2,36,1,1,56,44,33,41,65,34,15,13,15,3,62,51,28,36,58,56,48,43,15,62,27,54,50,60,18,36,57,10,49,56,1,49.5,64,35,35,32.5,36,27,11,59,53,53,36,21,32,68,46,57,1,2,31,43,38.5,63,34,1,36,36,66,66,64,24,36,36,13,36,36
19,67,9,26,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,2,,,20,52,56,42,7,26,43,66,58,36,31,5,36,57,16,3,36,4,2,55,43,67,41,66,35,16,14,16,4,61,51,29,36,59,55,49,42,16,63,28,55,51,61,19,36,58,11,48,55,2,51.5,65,36,36,32.5,37,28,12,60,57,54,36,22,33,64,47,58,2,3,32,44,38.5,64,35,2,36,36,67,67,65,25,36,37,53,36,36
20,66,8,27,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,3,,,21,53,57,43,8,27,44,67,59,36,32,6,36,56,17,4,36,5,3,54,42,40,41,67,36,17,15,17,5,60,51,30,36,60,54,50,41,17,64,29,56,52,62,20,36,59,12,47,54,3,53.5,66,37,37,32.5,38,29,13,61,64,55,36,23,34,65,48,59,3,4,33,45,38.5,65,36,3,36,36,68,68,66,26,36,38,53,36,36
21,65,7,28,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,4,,,22,54,58,44,9,28,45,68,60,36,33,7,36,55,18,5,36,6,4,53,41,71,41,68,37,18,16,18,6,59,51,31,36,61,53,51,40,18,65,30,57,53,63,21,36,60,13,46,53,4,55.5,67,38,38,32.5,39,30,14,62,65,56,36,24,35,66,49,60,4,5,34,46,38.5,66,37,4,36,36,69,69,67,27,36,39,53,36,36
22,64,6,29,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,5,,,23,55,59,45,10,29,46,69,61,36,34,8,36,54,19,6,36,7,5,52,40,35,41,69,38,19,17,19,7,58,51,32,36,62,52,52,39,19,66,25,58,54,64,22,36,61,14,45,52,5,57.5,68,39,39,32.5,40,31,15,63,66,57,36,25,36,67,50,61,5,6,35,47,38.5,67,38,5,36,36,70,70,68,28,36,40,53,36,36
23,63,5,22,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,54,,,1,29,60,2,2,13,1,70,56,36,29,9,36,53,20,1,36,8,6,51,39,32,41,64,14,11,5,14,8,57,51,33,36,57,7,53,29,20,67,24,53,49,59,17,36,62,9,44,51,6,59.5,60,40,40,32.5,41,26,16,29,67,41,36,26,37,63,14,56,6,7,30,48,38.5,62,39,6,36,36,71,71,69,29,36,25,8,36,36
24,2,64,41,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,55,,,54,57,23,35,14,53,58,59,25,36,16,53,36,61,63,64,36,45,25,66,22,55,41,21,13,62,23,56,51,49,51,20,36,34,51,54,36,21,37,63,43,33,14,64,36,26,15,5,71,52,65,53,46,1,39.5,58,43,56,52,39,20,36,51,56,33,30,46,47,64,49,32,38.5,49,1,49,36,36,24,23.5,30,54,36,49,29,36,36
25,3,65,42,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,56,,,53,58,24,16,22,52,59,60,26,36,17,54,36,62,64,65,36,46,26,67,21,54,41,22,21,63,22,57,52,48,51,21,36,35,50,55,35,34,38,64,44,34,15,65,36,27,16,6,70,53,66,54,47,4,39.5,59,44,57,51,40,21,36,52,57,34,31,47,48,65,50,33,38.5,50,2,50,36,36,25,25.5,31,55,36,50,53,36,36
26,4,66,43,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,57,,,52,59,25,5,23,51,60,61,27,36,18,55,36,63,65,66,36,47,27,68,20,53,41,23,22,64,21,58,53,47,51,22,36,36,49,56,34,33,39,65,45,35,16,66,36,28,17,7,69,54,67,55,48,5,39.5,60,45,58,50,41,22,36,53,58,35,32,48,49,66,51,34,38.5,51,3,51,36,36,26,27.5,32,56,36,51,53,36,36
27,7,67,44,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,58,,,51,60,26,68,24,50,61,62,28,36,19,56,36,64,66,67,36,48,28,69,19,52,41,24,23,65,20,59,54,46,51,23,36,37,48,57,33,22,40,66,46,36,17,67,36,29,18,8,68,55,68,56,49,6,39.5,61,46,59,49,42,23,36,54,59,36,33,49,50,67,52,35,38.5,52,4,52,36,36,27,29.5,33,57,36,52,53,36,36
28,8,68,45,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,59,,,50,61,27,70,25,49,62,63,29,36,20,57,36,65,67,68,36,49,29,70,18,51,41,25,24,66,19,60,55,45,51,24,36,38,47,58,32,23,41,67,47,37,18,68,36,30,19,9,67,56,69.5,57,50,7,39.5,62,47,60,48,43,24,36,55,60,37,34,50,51,68,53,36,38.5,53,5,53,36,36,28,31.5,34,58,36,53,53,36,36
29,12,69,14,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,60,,,49,62,1,10,13,48,25,64,15,36,14,69,36,66,68,69,36,50,30,64,24,50,41,26,25,67,6,61,11,44,51,25,36,52,46,59,31,24,42,68,15,31,1,36,36,31,1,3,66,57,62,58,44,8,39.5,63,41,61,47,44,18,36,49,38,60,12,44,52,69,54,49,38.5,30,12,54,36,36,29,33,35,59,36,54,14,36,36
30,11,70,15,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,61,,,48,63,2,34,49,47,26,58,16,36,15,70,36,67,69,70,36,51,31,65,23,57,41,27,26,68,7,62,10,43,51,26,36,53,45,60,30,25,43,69,16,32,2,37,36,32,2,4,65,58,63,59,45,9,39.5,64,42,62,46,45,19,36,50,39,61,11,45,53,70,55,50,38.5,29,13,55,36,36,30,34,36,60,36,55,53,36,36
31,27,71,48,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,62,,,47,64,22,33,64,46,68,57,69,36,66,43,36,68,70,71,36,52,32,71,17,56,41,36,27,69,18,63,9,69,51,27,36,70,68,61,37,38,44,70,69,55,3,69,36,68,68,65,64,59,64,61.5,43,45,39.5,65,17,63,64,46,58,36,56,61,62,45,70,54,71,56,62,38.5,61,27,56,36,36,31,35,37,61,36,56,30,36,36
32,45,46,49,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,29,,,46,45,42,63,65,39,51,26,45,36,57,21,36,46,8,39,36,9,33,24,53,63,41,12,1,26,44,38,44,31,51,4,36,44,18,29,62,64,45,56,21,38,65,38,36,42,46,36,63,24,34,21,51,46,67,51,34,64,37,32,59,36,57,62,21,56,14,24,50,57,25,38.5,42,40,42,36,36,48,36,38,35,36,42,17,36,36
33,44,47,50,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,30,,,45,46,43,7,66,38,52,27,46,36,58,22,36,47,9,40,36,10,34,25,52,62,41,13,4,27,43,39,45,30,51,5,36,45,17,30,61,65,46,57,22,39,66,39,36,43,47,35,62,25,35,22,52,47,67,52,35,65,38,33,60,36,58,63,22,57,15,25,51,58,26,38.5,43,41,43,36,36,49,37,39,36,36,43,53,36,36
34,43,48,51,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,31,,,44,47,44,8,67,37,53,28,47,36,59,23,36,48,10,41,36,11,35,26,51,61,41,14,6,28,42,40,46,29,51,6,36,46,16,31,60,66,47,58,23,40,67,40,36,44,48,34,61,26,36,23,53,48,67,53,36,66,39,34,61,36,59,64,23,58,16,26,52,59,27,38.5,44,42,44,36,36,50,38,40,37,36,44,53,36,36
35,42,49,52,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,32,,,43,48,45,40,68,36,54,29,48,36,60,24,36,49,11,42,36,12,36,27,50,60,41,15,8,29,41,41,47,28,51,7,36,47,15,32,59,67,48,59,24,41,68,41,36,45,49,33,60,27,37,24,54,49,67,54,37,67,40,35,62,36,60,65,24,59,17,27,53,60,28,38.5,45,43,45,36,36,51,39,41,38,36,45,53,36,36
36,41,50,53,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,33,,,42,49,46,52,69,35,55,30,49,36,61,25,36,50,12,43,36,13,37,28,49,59,41,16,39,30,40,42,48,27,51,8,36,48,14,33,58,68,49,60,25,42,69,42,36,46,50,32,59,28,38,25,55,50,67,55,38,68,41,36,63,36,61,66,25,60,18,28,54,61,29,38.5,46,44,46,36,36,52,40,42,39,36,46,53,36,36
37,40,51,54,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,34,,,41,50,47,53,70,34,56,31,50,36,62,26,36,51,13,44,36,14,38,29,48,58,41,17,40,31,39,43,49,26,51,9,36,49,13,34,57,69,50,61,26,43,70,43,36,47,51,31,58,29,39,26,56,51,67,56,39,69,42,37,64,36,62,67,26,61,19,29,55,62,30,38.5,47,45,47,36,36,53,41,43,40,36,47,53,36,36
38,39,52,55,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,35,,,40,51,48,54,71,33,57,32,51,36,63,27,36,52,14,45,36,15,39,30,47,69,41,18,41,32,38,44,50,25,51,10,36,50,12,35,56,70,51,62,27,44,71,44,36,48,52,30,57,30,40,27,57,52,67,57,40,70,43,38,65,36,63,68,27,62,20,30,56,63,31,38.5,48,46,48,36,36,54,42,44,41,36,48,53,36,36
39,61,41,56,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,19,,,39,40,21,19,48,40,63,47,39,36,52,28,36,39,31,55,36,53,40,44,67,25,41,59,42,56,37,45,39,56,23,60,36,29,44,64,67,51,35,33,28,56,51,53,36,63,62,64,17,38,48,46.5,10,53,46,31,21,17,1,25,4,36,39,40,16,25,37,57,40,20,38,38.5,25,57,37,36,36,57,43,57,65,36,57,21,36,36
40,60,42,57,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,20,,,38,41,20,20,47,41,64,48,40,36,53,29,36,38,32,56,36,54,41,43,68,21,41,60,43,57,36,46,40,55,24,61,36,30,43,65,66,52,36,34,29,57,52,54,36,64,63,63,18,39,49.5,48,11,54,46,32,22,18,2,26,5,36,40,41,17,26,38,58,41,21,39,38.5,24,58,38,36,36,58,44,58,66,36,58,53,36,36
41,59,43,58,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,21,,,37,42,19,21,46,42,65,49,41,36,54,30,36,37,33,57,36,55,42,42,69,20,41,61,44,58,35,47,41,54,25,62,36,31,42,66,65,53,32,35,30,58,53,55,36,65,64,62,34,40,51.5,49,12,55,46,33,23,19,3,27,6,36,41,42,18,27,39,59,42,22,40,38.5,23,59,39,36,36,59,45,59,67,36,59,53,36,36
42,58,44,59,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,22,,,36,43,18,36,45,43,66,50,42,36,55,31,36,36,34,58,36,56,43,41,70,26,41,62,45,59,34,48,42,53,26,63,36,32,41,67,64,54,33,36,31,59,54,56,36,66,65,61,35,41,53.5,50,13,56,46,34,24,20,4,16,7,36,42,43,19,28,40,60,43,23,41,38.5,22,60,40,36,36,60,46,60,68,36,60,53,36,36
43,57,45,60,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,23,,,35,44,17,22,44,44,67,51,38,36,56,32,36,35,35,59,36,57,44,40,71,27,41,63,46,60,33,49,43,52,27,64,36,33,40,68,63,55,34,37,32,60,55,57,36,67,66,60,36,42,55.5,51,14,57,46,35,25,21,5,17,8,36,43,44,20,29,41,61,44,24,42,38.5,21,61,41,36,36,61,47,61,69,36,61,53,36,36
44,35,19,66,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,9,,,34,32,16,65,43,63,31,10,30,36,24,34,36,30,36,60,36,58,45,36,66,2,41,52,47,48,32,22,29,40,17,50,36,15,35,36,53,2,52,38,17,21,22,46,36,33,38,54,24,7,41,28,21,19,5.5,27,3,1,13,8,33,36,7,5,38,20,28,62,45,25,11,38.5,20,47,28,36,36,41,48,47,44,36,62,22,36,36
45,34,20,67,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,10,,,33,33,14,71,42,62,32,11,31,36,25,35,36,29,37,61,36,59,46,35,65,5,41,53,48,49,31,23,30,39,18,51,36,16,34,37,52,8,53,39,18,22,23,47,36,34,39,53,20,8,42,29,22,20,5.5,17,4,2,12,9,34,36,8,6,39,21,29,63,46,11,12,38.5,19,48,29,36,36,42,49,48,45,36,63,53,36,36
46,33,13,68,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,11,,,32,34,5,50,41,61,33,12,32,36,26,36,36,28,38,62,36,60,47,34,64,6,41,54,49,50,30,24,31,38,19,52,36,17,33,38,51,14,54,40,19,23,24,48,36,35,40,52,26,9,43,30,23,21,5.5,18,5,3,14,10,35,36,9,7,40,22,30,64,47,12,13,38.5,18,49,30,36,36,43,50,49,46,36,64,53,36,36
47,32,14,69,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,12,,,31,35,6,51,40,60,34,13,33,36,27,37,36,27,39,63,36,61,48,33,63,4,41,55,50,51,29,25,32,37,20,53,36,18,32,39,50,26,55,41,20,24,25,49,36,36,41,51,25,10,44,31,24,22,5.5,19,18,4,15,11,36,36,10,8,41,23,31,65,48,13,14,38.5,17,50,31,36,36,44,51,50,47,36,65,53,36,36
48,38,15,65,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,13,,,30,36,68,31,39,59,11,14,14,36,28,33,36,31,40,31.5,36,62,49,61,62,9,41,51,51,52,63,26,33,70,51,54,36,43,36,40,46,12,56,42,37,25,26,45,36,37,42,50,19,11,45,40,30,58,5.5,20,19,5,18,31,37,36,3,9,42,24,36,66,49,14,15,38.5,55,51,60,36,36,38,52,51,48,36,66,23,36,36
49,48,73,62,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,14,,,29,37,69,55,38,58,35,33,52,36,35,38,36,32,41,29.5,36,63,50,37,61,7,41,56,52,53,28,34,34,36,51,55,36,40,39,41,49,37,57,43,38,18,56,50,36,49,43,59,38,12,57.5,41,27,59,5.5,21,56,6,20,22,38,36,16,10,43,5,53,67,29,15,63,38.5,56,52,32,36,36,45,53,52,49,36,67,32,36,36
50,47,15,63,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,15,,,28,38,49,46,37,57,36,34,53,36,36,39,36,33,42,27.5,36,64,51,38,60,8,41,57,53,54,27,35,35,35,51,56,36,41,38,42,48,36,58,44,39,19,57,51,36,50,44,58,23,13,59.5,46.5,28,60,5.5,22,57,7,19,23,39,36,17,11,44,4,54,68,30,16,64,38.5,57,53,33,36,36,46,54,53,50,36,68,53,36,36
